dominio;interno;servicios;anioModelo;cantAsientos;empresaNro;cuit;razonSocial;vigenciaHastaInspeccionTecnica;tecnicaNro;tipoTecnica;categoriaAprob;CarroceriaMarca;CarroceriaModelo;expOrig;expModif;disposicion;tacografoMarca;tacografoNro;linea;chasisNro;chasisMarca;chasisModelo;accesibilidad;jurisdiccion;aireAcondicionado;vigenciaHasta
AD947YC;9338;"SERVICIO COMÚN";2019;28;2062;33546610719;"GENERAL TOMAS GUIDO S.A.C.I.F.";13/12/2026;247004;CENT;"URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO";TODOBUS;;65132/2016;;0057/16;;;164;8BBC67B1ALM001441;AGRALE;"MT 17.0 LE 6000";SI;JN:NACIONAL;SI;UC:2029-12-31
AD947YK;9329;"SERVICIO COMÚN";2019;28;2062;33546610719;"GENERAL TOMAS GUIDO S.A.C.I.F.";01/01/2027;250159;CENT;"URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO";TODOBUS;;65132/2016;;0057/16;;;164;8BBC67B1ALM001450;AGRALE;"MT 17.0 LE 6000";SI;JN:NACIONAL;SI;UC:2029-12-31
AD947YN;9330;"SERVICIO COMÚN";2019;28;2062;33546610719;"GENERAL TOMAS GUIDO S.A.C.I.F.";24/12/2026;250026;CENT;"URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO";TODOBUS;;65132/2016;;0057/16;;;164;8BBC67B1ALM001449;AGRALE;"MT 17.0 LE 6000";SI;JN:NACIONAL;SI;UC:2029-12-31
AD947YO;9333;"SERVICIO COMÚN";2019;28;2062;33546610719;"GENERAL TOMAS GUIDO S.A.C.I.F.";08/11/2026;108261;CENT;"URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO";TODOBUS;;65132/2016;;0057/16;;;164;8BBC67B1ALM001446;AGRALE;"MT 17.0 LE 6000";SI;JN:NACIONAL;SI;UC:2029-12-31
AD947YP;9331;"SERVICIO COMÚN";2019;28;2062;33546610719;"GENERAL TOMAS GUIDO S.A.C.I.F.";02/01/2027;250173;CENT;"URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO";TODOBUS;;65132/2016;;0057/16;;;164;8BBC67B1ALM001448;AGRALE;"MT 17.0 LE 6000";SI;JN:NACIONAL;SI;UC:2029-12-31
AD947YQ;9332;"SERVICIO COMÚN";2019;28;2062;33546610719;"GENERAL TOMAS GUIDO S.A.C.I.F.";08/01/2027;301022;CENT;"URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO";TODOBUS;;65132/2016;;0057/16;;;164;8BBC67B1ALM001447;AGRALE;"MT 17.0 LE 6000";SI;JN:NACIONAL;SI;UC:2029-12-31
AE046JJ;9364;"SERVICIO COMÚN";2020;28;2062;33546610719;"GENERAL TOMAS GUIDO S.A.C.I.F.";18/12/2026;247047;CENT;"URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO";TODOBUS;;65132/2016;;0057/16;;;164;8BBC67B1ALM001463;AGRALE;"MT 17.0 LE 6000";SI;JN:NACIONAL;SI;UC:2026-12-17
AE094JE;9322;"SERVICIO COMÚN";2020;28;2062;33546610719;"GENERAL TOMAS GUIDO S.A.C.I.F.";11/02/2027;327988;CENT;"URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO";TODOBUS;;65132/2016;;0057/16;;;164;8BBC67B1ALM001457;AGRALE;"MT 17.0 LE 6000";SI;JN:NACIONAL;SI;UC:2030-12-31
AE094JF;9326;"SERVICIO COMÚN";2020;28;2062;33546610719;"GENERAL TOMAS GUIDO S.A.C.I.F.";29/01/2027;323738;CENT;"URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO";TODOBUS;;65132/2016;;0057/16;;;164;8BBC67B1ALM001453;AGRALE;"MT 17.0 LE 6000";SI;JN:NACIONAL;SI;UC:2030-12-31
AE094JG;9319;"SERVICIO COMÚN";2020;28;2062;33546610719;"GENERAL TOMAS GUIDO S.A.C.I.F.";23/01/2027;323638;CENT;"URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO";TODOBUS;;65132/2016;;0057/16;;;164;8BBC67B1ALM001460;AGRALE;"MT 17.0 LE 6000";SI;JN:NACIONAL;SI;UC:2030-12-31
